"","x"
"45","ftp:##ftp.cc.gatech.edu#pub#ai#symposia#aaai-spring-95#papers#acceptances#gurer.ps.gz"
"46","ftp:##ftp.cc.gatech.edu#pub#ai#symposia#aaai-spring-95#papers#acceptances#oehlmann.ps.gz"
"47","An alternative Markov property for chain graphs."
"48","Theory revision in fault hierarchies."
"49","A competitive approach to game learning."
"50","A comparison of selection schemes used in genetic algorithms."
"51","http:##www.research.att.com#~yoav#papers#lsearch.ps.gz"
"52","Markov decision pro cesses in large state spaces."
"53","""Neural networks with quadratic VC dimension,"""
"54","Recurrent neural networks for blind separation of sources,"
"55","The efficient learning of multiple task sequences,"
"56","http:##www.cs.rutgers.edu#~ellman#sara98#papers#ellman-summary.ps"
"57","Context-specific independence in Bayesian networks."
"58","Reinforcement learning with replacing eligibility traces."
"59","Integrating reading and creativity: A functional approach."
"60","http:##www.cs.rutgers.edu#hpcd#Area_II.1a#reno98.ps.Z"
"61","Case-based reasoning: Foundational issues, methodological variations, and system approaches."
"62","http:##www.cs.concordia.ca#~faculty#grahne#papers#jlc.ps"
"63","Discovering solutions with low kolmogorov complexity and high generalization capability."
"64","http:##www.iiia.csic.es#Reports#1997#icmc.ps.gz"
"65","W.S. Boosting the Margin: A New Explanation for the Effectiveness of Voting Methods."
"66","Supervised learning from incomplete data via an EM approach."
"67","Script recognition with hierarchical feature maps."
"68","ftp:##ftp.idsia.ch#pub#juergen#attention.ps.gz"
"69","Hierarchical Mixtures of Experts and the EM Algorithm,"
"70","A new view of the EM algorithm that justifies incremental and other variants."
"71","Synchronization and desynchronization in a network of locally coupled Wilson-Cowan oscillators,"
"72","MacKay (1995). Probabilistic networks: new models and new methods."
"73","http:##www.cs.cmu.edu#~yannick#flairs98.ps.gz"
"74","Neural network implementation in SAS software."
"75","A modification to evidential probability."
"76","Reinforcement Learning for Job-Shop Scheduling,"
"77","and Deva Johnam. A neural network pole-balancer that learns and operates on a real robot in real time."
"78","Bayes factors and model uncertainty."
"79","Q-learning with hidden-unit restarting."
"80","The Expandable Split Window Paradigm for Exploiting Fine-Grain Parallelism,"
"81","A hybrid nearest-neighbor and nearest-hyperrectangle algorithm."
"82","Hoeffding Races: Accelerating Model Selection Search for Classification and Function Approximation,"
"83","NP-Completeness of Searches for Smallest Possible Feature Sets."
"84","The wake-sleep algorithm for unsupervised neural networks."
"85","A Min Tjoa, and Gerti Kappel. Learning the semantic similarity of reusable sotware components."
"86","Learning Analytically and Inductively."
"87","http:##www.warwick.ac.uk#statsdept#Staff#WSK#papers#323.ps.gz"
"88","http:##www.informatik.hu-berlin.de#~lenz#Papers95#scai.ps.gz"
"89","http:##www.cs.virginia.edu#~gjf2a#AAAI_Fall98#papers#Peterson.ps"
"90","Bayesian forecasting and dynamic models."
"91","Using Markov chains to analyze GAFOs."
"92","Adaptive noise injection for input relevance determination."
"93","Multivariate versus univariate decision trees."
"94","ftp:##ftp.wins.uva.nl#pub#computer-systems#aut-sys#reports#SchKroBabKri96.ps.gz"
"95","How lateral interaction develops in a self-organizing feature map."
"96","The new challenge: From a century of statistics to an age of causation."
"97","Combining Top-down and Bottom-up Techniques in Inductive Logic Programming,"
"98","Computing upper and lower bounds on likelihoods in intractable networks."
"99","Jordan (1996b). Recursive algorithms for approximating proba-bilities in graphical models."
"100","""A General Lower Bound on the Number of Examples Needed for Learning,"""
"101","http:##www-cse.ucsd.edu#users#gary#pubs#m.ps"
"102","http:##www.tue.nl#tm#vakgr#it#mwerkers#twe#ecml98.ps"
"103","""Pattern Discrimination Using Feedforward Networks: A Benchmark Study of Scaling Behavior"","
"104","(1996) Rate of Convergence of the Gibbs Sampler by Gaussian Approximation."
"105","http:##www.cs.cmu.edu#afs#cs.cmu.edu#user#kdeng#www#paper#ij-proceedings.ps"
"106","http:##www.cs.colostate.edu#~pyeatt#FLAIRS-98.ps"
"107","Cost-Sensitive Feature Reduction Applied to a Hybrid Genetic Algorithm,"
"108","""Genetic Programming Exploratory Power and the Discovery of Functions,"""
"109","Learning complex, extended sequences using the principle of history compression."
"110","Ocular dominance and patterned lateral connections in a self-organizing model of the primary visual cortex."
"111","Fast numerical integration of relaxation oscillator networks based on singular limit solutions."
"112","Self-organization and segmentation with laterally connected maps of spiking neurons. In Workshop on Self-Organizing Maps,"
"113","(1997) Gaussian pro cesses for Bayesian classification via hybrid Monte Carlo."
"114","(1997) Perfect Simulation of some Point Processes for the Impatient User, Advances in Applied Probability, Stochastic Geometry and Statistical Applications,"
"115","Self-organization and functional role of lateral connections and multi size receptive fields in the primary visual cortex. Neural Processing Letters,"
"116","Optimal attitude control of satellites by artificial neural networks: a pilot study."
"117","PAC-learning PROLOG clauses with or without errors."
"118","ftp:##vismod.www.media.mit.edu#pub#tpminka#papers#minka-em-tut.ps.gz"
"119","N.T. (1995) Prior Knowledge and the Creation of Virtual Examples for RBF Networks."
"120","Gain adaptation beats least squares."
"121","ftp:##ftp.ai.univie.ac.at#papers#oefai-tr-97-01.ps.Z"
"122","Theory refinement combining analytical and empirical methods."
"123","Auxilliary variable methods for Markov chain Monte Carlo with applications."
"124","Convergence Rates of Markov Chains."
"125","Investigating the generality of automatically defined functions."
"126","Exploiting the omission of irrelevant data."
"127","ftp:##ftp.cs.rochester.edu#pub#u#rosca#gp#94.ml.hierarchical_so_gp.ps.gz"
"128","Pattern recognition via linear programming: Theory and application to medical diagnosis."
"129","Resonance and the perception of musical meter."
"130","A User Friendly Workbench for Order-Based Genetic Algorithm Research,"
"131","Convergence-zone episodic memory: Analysis and simulations."
"132","ftp:##ftp.cs.columbia.edu#reports#reports-1989#cucs-511-89c.ps.gz"
"133","Multiagent reinforcement learning: Theoretical framework and an algorithm."
"134","Corporate memories as distributed case libraries. Submitted to CORPORATE MEMORY & ENTERPRISE MODELING track in KAW\'96,"
"135","Using knowledge of cognitive behavior to learn from failure."
"136","Representing and restructuring domain theories: A constructive induction approach."
"137","Replicability of neural computing experiments."
"138","Living in a partially structured environment: How to bypass the limitation of classical reinforcement techniques."
"139","http:##www.media.mit.edu#~schoner#papers#ICMC98.ps"
"140","Inference in model-based cluster analysis."
"141","ftp:##ftp.ai.univie.ac.at#papers#oefai-tr-95-35.ps.Z"
"142","A practical Bayesian framework for backpropagation networks."
"143","Exploiting Choice: Instruction Fetch and Issue on an implementable Simultaneous Multithread-ing Processor."
"144","Bias-driven revision of logical domain theories."
"145","On Bayesian analysis of mixtures with an unknown number of components."
"146","Analysis of some incremental variants of policy iteration: First steps toward understanding actor-critic learning systems."
"147","Genetic Algorithms in Search, Optimization and Machine Learning."
"148","Improving Generalization with Active Learning,"
"149","The effects of predicated execution on branch prediction."
"150","Rules and precedents as complementary warrants."
"151","Auto-exploratory av-erage reward reinforcement learning."
"152","Dynamic control of genetic algorithms using fuzzy logic techniques."
"153","Learning linear, sparse, factorial codes."
"154","http:##www.research.att.com#~mkearns#papers#inference.ps.Z"
"155","Efficient feature selection in conceptual clustering."
"156","An upper bound on the loss from approximate optimal value functions."
"157","http:##www.cs.iastate.edu#~honavar#Papers#aaai93.ps"
"158","a self-organizing feature map for sequences."
"159","(1990b) : ""Knowledge Integration and Learning"","
"160","""Evaluation and Selection of Biases in Machine Learning,"""
"161","http:##www.mli.gmu.edu#~iimam#papers#JIIS93.ps"
"162","ftp:##cse.ogi.edu#pub#tech-reports#1996#96-006.ps.gz"
"163","http:##www.demo.cs.brandeis.edu#papers#cogscimusic.ps.gz"
"164","(1995a) Ensemble learning and evidence maximization."
"165","http:##www.cf.ac.uk#uwcc#maths#sahu#papers#adv.ps.gz"
"166","http:##www.aic.nrl.navy.mil:80#~aha#aaai95-fss#papers#boerner.ps.Z"
"167","http:##www.cs.princeton.edu#~psa#multi.ics.ps"
"168","Robustness analysis of bayesian networks with global neighborhoods."
"169","ftp:##ftp.wins.uva.nl#pub#computer-systems#aut-sys#reports#KroDam92a.ps.gz"
"170","http:##pegasus.ece.utexas.edu:80#~ismail#ruleordering_IEEE_ICNN97.ps.Z"
"171","""An Evolutionary Algorithm That Constructs Recurrent Neural Networks"","
"172","Using marker-based genetic encoding of neural networks to evolve finite-state behaviour."
"173","Smoothing spline ANOVA with component-wise Bayesian ""confidence intervals""."
"174","Soft classification, a.k.a. risk estimation, via penalized log likelihood and smoothing spline analysis of variance."
"175","Improving the quality of automatic DNA sequence assembly using fluorescent tracedata classifications. In States, D.J.,"
"176","Techniques for extracting instruction level parallelism on MIMD architectures."
"177","a multiple instruction stream computer."
"178","http:##www.ai.sri.com#~blei#blei.ps"
"179","http:##www.cs.colostate.edu#~anderson#pubs#nnsp95.ps.Z"
"180","On learning conjunctions with malicious noise."
"181","""Sample complexity for learning recurrent perceptron mappings,"""
"182","M.C., ""Neural Net Architectures for Temporal Sequence Processing,"" Predicting the future and understanding the past (Eds."
"183","A distributed feature map model of the lexicon."
"184","""Natural language processing with modular neural networks and distributed lexicon."""
"185","Neural nets as systems models and controllers."
"186","Learning by error-driven decomposition."
"187","Feature subset selection as search with probabilistic estimates."
"188","Massively parallel genetic programming."
"189","Szepesvari and M.L. Littman. A unified analysis of value-function-based reinforcement-learning algorithms."
"190","http:##www.cs.rochester.edu#u#bayliss#spectral#aipr97.ps"
"191","Incremental methods for computing bounds in partially observable Markov decision processes."
"192","Bayesian nonlinear modelling for the prediction competition."
"193","ftp:##ftp.imag.fr#pub#LIFIA#malek.cbrnn.e.ps.Z"
"194","http:##www.eecs.umich.edu#~tyson#Postscript#IJPP.ps.gz"
"195","Vuurpijl and Th.E. Schouten. A Scalable Performance Prediction Model for Parallel Neural Network Simulations."
"196","http:##www.ultimode.com#wray#trees.ps.Z"
"197","Cliff (1993). ""Issues in evolutionary robotics,"" From Animals to Animats 2 (Ed."
"198","http:##www.ldc.usb.ve#~hector#reports#learning.ps"
"199","ftp:##ftp.cc.gatech.edu#pub#ai#ram#er-92-03.ps.Z"
"200","http:##www.erg.sri.com#people#marie#papers#ats-symp.ps"
"201","http:##www-ai.ijs.si#DunjaMladenic#papers#ICL#ecml95.ps"
"202","Inducing logic programs without explicit negative examples."
"203","http:##www.ri.cmu.edu#afs#cs#usr#kdeng#www#paper#ij-proceedings.ps"
"204","http:##www.cs.purdue.edu#research#cse#pythia#papers#conf-journal#icnn96.ps.gz"
"205","Committees of decision trees."
"206","Cost-Sensitive Classification: Empirical Evaluation of a Hybrid Genetic Decision Tree Induction Algorithm."
"207","Mathematical programming in neural networks."
"208","ftp:##ftp.cc.gatech.edu#pub#ai#kolodner#git-cc-94-12.ps.Z"
"209","http:##www.cs.brown.edu#people#ldp#papers#Gelfand.ps"
"210","ftp:##ftp.idsia.ch#pub#juergen#selfmodnet.ps.gz"
"211","http:##www.demo.cs.brandeis.edu#papers#mam92.ps.gz"
"212","http:##www.cs.unc.edu#~marshall#WWW#PAPERS#shift9807.ps.gz"
"213","`A case study in machine learning\',"
"214","A sequential niche technique for multimodal function optimization."
"215","Learning from examples, agent teams and the concept of reflection."
"216","http:##www.cs.cmu.edu#~reinf#ml95#proc#boyan.ps"
"217","A transformation system for interactive reformulation of design optimization strategies. Fully accepted to Research in Engineering Design,"
"218","http:##www.cs.kun.nl#eita#publications#conferences#Schoenmakers-conf95.ps.gz"
"219","http:##www.cs.yale.edu#users#csuros-miklos#papers#colt97.ps"
"220","Intelligent agents for Web-based tasks: An advice-taking approach."
"221","Dynamically adjusting concepts to accommodate changing contexts."
"222","Neal (1991). Bayesian mixture modelling by Monte Carlo simulation,"
"223","Efficient reinforcement learning through symbiotic evolution."
"224","Probabilistic evaluation of sequential plans from causal models with hidden variables."
"225","Control Flow Prediction for Dynamic ILP Processors."
"226","Mean field theory for sigmoid belief networks."
"227","A Statistical Approach to Solving the EBL Utility Problem,"
"228","A modular Q-learning architecture for manipulator task decomposition,"
"229","Hyperplane ""spin"" dynamics, network plasticity and back-propagation learning."
"230","http:##www.demo.cs.brandeis.edu#papers#sur97.ps"
"231","http:##www.research.att.com#~singer#papers#compref.ps.gz"
"232","Using Decision Trees to Improve Case-based Learning."
"233","""Factor analysis using delta-rule wake-sleep learning"","
"234","Using dirichlet mixture priors to derive hidden Markov models for protein families."
"235","http:##www.gia.ist.utl.pt#~pedrod#maml.ps.gz"
"236","""Aspects of Graphical Models Connected With Causality,"""
"237","Evolving representations of design cases and their use in creative design, Preprints Computational Models of Creative Design."
"238","`Time series prediction using mixtures of experts,\'"
"239","On learning more concepts,"
"240","Analyzing GAs using Markov models with semantically ordered and lumped states."
"241","Emergent behaviour in co-evolutionary design,"
"242","On Learning from Noisy and Incomplete Examples."
"243","Finding genes in human DNA with a hidden Markov model."
"244","Discovering Structure in Multiple Learning Tasks: The TC Algorithm."
"245","Generalized update: Belief change in dynamic settings."
"246","Rohwer (1996). Bayesian regression filters and the issue of priors."
"247","A performance analysis of CNS on sparse connectionist networks."
"248","Two is Better than One: a Diploid Genotype for Neural Networks."
"249","Belief revision: A critique."
"250","A qualitative Markov assumption and its implications for belief change."
"251","Applying online-search to reinforcement learning."
"252","Generalized queries in probabilistic context-free grammars."
"253","Qualitative probabiliteis for default reasoning, belief revision, and causal modeling."
"254","Integrating motor schemas and reinforcement learning."
"255","A local learning algorithm for dynamic feedforward and recurrent networks."
"256","A Model of Creative Understanding,"
"257","Explaining Serendipitous Recognition in Design,"
"258","The Estimation of Probabilities in Attribute Selection Measures for Decision Structure Induction in Proceeding of the European Summer School on Machine Learning,"
"259","http:##www.cs.cmu.edu#afs#cs#user#chal#www#colt92.ps.gz"
"260","A case base similarity framework."
"261","A bibliography for genetic programming."
"262","Neural networks with real weights: analog computational complexity."
"263","G.O. (1997) A Total Variation Method for Diagnosing Convergence of MCMC Algorithms."
"264","ftp:##ftp.cnl.salk.edu#pub#jung#nips95b.ps.Z"
"265","Neuronlike adaptive elements that can solve difficult learning control problems."
"266","Lookahead and Pathology in Decision Tree Induction,"
"267","ftp:##synapse.cs.byu.edu#pub#papers#bertelsen_th.ps"
"268","How to dynamically merge markov decision processes."
"269","On the Approximability of Numerical Taxonomy."
"270","Storing and indexing plan derivations through explanation-based analysis of retrieval failures."
"271","Confidence Estimation for Speculation Control."
"272","Relating relational learning algorithms."
"273","Efficient learning in Boltzmann Machines using linear response theory."
"274","ftp:##ftp.cs.orst.edu#pub#tgd#papers#tr-td-scheduling.ps.gz"
"275","Learning curves bounds for Markov decision processes with undiscounted rewards."
"276","A Comparison of Full and Partial Predicated Execution Support for ILP Processors."
"277","""The Power of Self-Directed Learning"","
"278","http:##www.cs.bu.edu#techreports#94-009-lowerbound-ga.ps.Z"
"279","Forecasting electricity demand using a mixture of nonlinear experts."
"280","http:##web.mit.edu#dimitrib#www#td.ps"
"281","http:##dc.isx.com#~bkettle#Papers#iccbr97.ps"
"282","Employing linear regression in regression tree leaves."
"283","http:##schoner.physik.uni-bremen.de#~carmesin#docs#Gordon.ps"
"284","http:##www.ics.uci.edu#~pazzani#Publications#ijcai93-wogulis.ps"
"285","http:##www-ai.ijs.si#MarkoBohanec#kdd97.ps"
"286","Generalizing from case studies: A case study."
"287","Error Reduction through Learning Multiple Descriptions."
"288","Working Notes of AAAI Workshop on Integrating Multiple Learned Models for Improving and Scaling Machine Learning Algorithms (available at http://www.cs.fit.edu/~imlm/papers.html), Portland,"
"289","Planning with closed-loop macro actions."
"290","Statistical tests for comparing supervised classification learning algorithms."
"291","Learning active classifiers."
"292","""Bucket elimination: A unifying framework for probabilistic inference,"""
"293","Bayesian model selection in social research."
"294","""Topological parameters for time-space tradeoff,"""
"295","Global conditioning for probabilistic inference in belief networks."
"296","http:##www.cs.toronto.edu#~mackay#timing.ps.gz"
"297","http:##www.aic.nrl.navy.mil#~spears#papers#ep94.ps.gz"
"298","From data distributions to regularization in invariant learning."
"299","Exploiting causal independence in Bayesian network inference."
"300","Comparison of action selection learning methods."
"301","Improved noise-tolerant learning and generalized statistical queries."
"302","http:##www.ai.univie.ac.at#~juffi#publications#ml-94.ps.gz"
"303","http:##www.cs.kun.nl#eita#publications#reports#Vuurpijl-rep94a.ps.gz"
"304","http:##www.math.macalester.edu#~fox#cs88#papers#meter.ps"
"305","Abduction as belief revision."
"306","Best Probabilities of Activation and Performance Comparisons for Several Designs of Kanerva\'s SDM (Sparse Distributed Memory), 1995."
"307","Some comments on the Information Stored in Sparse Distributed Memory,"
"308","Rank-based systems: A simple approach to belief revision, belief update, and reasoning about evidence and actions."
"309","On convergence properties of the em algorithm for gaussian mixtures."
"310","First order regression: Application in real-world domains."
"311","ftp:##ftp.cs.umd.edu#pub#papers#papers#3668#3668.ps.Z"
"312","Induction of multiscale temporal structure."
"313","Ring. Sequence learning with incremental higher-order neural networks."
"314","D.M. (1998) Convergence controls for MCMC algorithms, with applications to hidden Markov chains."
"315","Application of neural networks for the classification of diffuse liver disease by quantitative echography. Ultrasonic Imaging,"
"316","Principal and independent components in neural networks-recent developments."
"317","Generalization and exclusive allocation of credit in unsupervised category learning. Network:"
"318","A flexible model for human circadian rhythms,"
"319","http:##www.cs.wisc.edu#~fischer#ftp#pub#tech-reports#ncstrl.uwmadison#MP-TR-96-14#MP-TR-96-14.ps.Z"
"320","Hierarchical spatio-temporal mapping of disease rates."
"321","(1992) Feature extraction using an unsupervised neural network."
"322","Investigating the value of a good input representation."
"323","http:##www.ai.mit.edu#people#unamay#cscsi-ws#weiss-2.ps"
"324","Learning topology-preserving maps using self-supervised backpropagation."
"325","Representing rhythmic patterns in a network of oscillators."
"326","RADIAL BASIS FUNCTIONS: L p -Approximation orders with scattered centres, Preprint. APPROXIMATION FROM PERTURBED SHIFTS 35"
"327","Approximation by scattered shifts of a radial basis function,"
"328","An upper bound on the approximation power of principal shift-invariant spaces,"
"329","Explanation-based learning and reinforcement learning: A unified approach."
"330","Some extensions of the k-means algorithm for image segmentation and pattern classification."
"331","Limitations of self-organizing maps for vector quantization and multidimensional scaling."
"332","Robust reinforcement learning in motion planning."
"333","Selecting input variables using mutual information and nonparamteric density estimation."
"334","ftp:##gracco.irmkant.rm.cnr.it#pub#raffaele#calabretta.diplo2.ps.Z"
"335","Task selection for a Multiscalar processor."
"336","ftp:##ftp.cs.umass.edu#pub#techrept#techreport#1996#UM-CS-1996-013.ps"
"337","Constructive induction using a non-greedy strategy for feature selection."
"338","http:##www.cs.helsinki.fi#~tirri#divd.ps"
"339","(1995) Constructive Algorithms for Hierachical Mixtures of Experts."
"340","An empirical comparison of selection measures for decision-tree induction."
"341","editors. Machine Learning, Meta-Reasoning and Logics."
"342","Generality and difficulty in genetic programming: Evolving a sort."
"343","Compression-Based Feature Subset Selection,"
"344","Learning decision lists using homogeneous rules."
"345","ftp:##ftp.icsi.berkeley.edu#pub#techreports#1997#tr-97-053.ps.gz"
"346","http:##www.dfki.de#~bauer#um-ws#Final-Versions#Beck#Beck.ps.gz"
"347","http:##www.icsi.berkeley.edu#~shastri#psfiles#final_icann.ps"
"348","Estimating alertness from the EEG power spectrum."
"349","Robust analysis of bayesian networks with finitely generated convex sets of distributions."
"350","Geometry in learning."
"351","http:##www.cs.toronto.edu#~mackay#density.ps.gz"
"352","http:##www.ai.mit.edu#projects#cbcl#res-area#theory#tr1.ps"
"353","Evolving graphs and networks with edge encoding: Preliminary report."
"354","Geometric comparison of classifications and rule sets."
"355","http:##www.cogs.susx.ac.uk#users#christ#papers#truth-from-trash.ps"
"356","""Testing Identifiability of Causal Effects,"""
"357","Learning Visual Schemas in Neural Networks for Object Recognition and Scene Analysis,"
"358","Learning limited dependence Bayesian classifiers."
"359","The evolutionary cost of learning."
"360","No Gain: Landscapes, Learning Costs and Genetic Assimilation, submitted to EC and University of Sussex, CSRP 409(?) [Merezhkovsky, KS, 1920] in Khakina LN (1992) Concepts of Symbiogenesis: History of Symbiogenesis as an evolutionary mechanism,"
"361","http:##www.cs.utexas.edu#users#neeraj#doc#NN#pop_tree#pop_tree.ps"
"362","""Serial and Parallel Backpropagation 18 References Convergence Via Nonmonotone Perturbed Minimization,"""
"363","""Constructing deterministic finite-state automata in recurrent neural networks"","
"364","http:##www.math.rutgers.edu#~sycon#OLDER_REPORTS#sycon-93-09.ps.gz"
"365","Extraction of rules from discrete-time recurrent neural networks. Neural Networks,"
"366","High-Performance Job-Shop Scheduling With A Time-Delay TD() Network."
"367","On the Computational Power of Neural Nets."
"368","""The Complexity of Real-time Search."""
"369","Rates of convergence of approximation by translates. A.I."
"370","""Acquiring Recursive Concepts with Explanation-Based Learning,"""
"371","On convergence rates of Gibbs samplers for uniform distributions."
"372","Constructing intermediate concepts by decomposition of real functions."
"373","Heterogeneous uncertainty sampling for supervised learning."
"374","On the testability of causal models with latent and instrumental variables."
"375","""Bootstrap Confidence Intervals for Smoothing Splines and Their Comparison to Bayesian Confidence Intervals""."
"376","Improved boosting algorithms using confidence-rated predictions."
"377","(1992) Genetic self-learning."
"378","A Bayesian approach to learning Bayesian networks with local structure."
"379","http:##www.cs.caltech.edu#~eric#papers#vote_paper_neural_computation.ps"
"380","http:##www.cs.colostate.edu#~anderson#pubs#eannrl96.ps.Z"
"381","Rule induction with CN2: some recent improvements."
"382","Introduction to the Theory of Neural Computa 92 tion."
"383","Selective eager execution on the polypath architecture."
"384","Classifiers: A theoretical and empirical study."
"385","Irrelevant features and the subset selection problem."
"386","Rule-based machine learning methods for function prediction."
"387","Limited Dual Path Execution."
"388","Threaded multiple path execution."
"389","http:##www.isle.org#~langley#papers#concrete.jmp98.ps"
"390","Family-based homology detection via pairwise sequence comparison."
"391","Pattern theoretic knowledge discovery."
"392","A gentle guide to multiple alignment 2.03."
"393","A system for induction of oblique decision trees."
"394","Hierarchical explanation-based reinforcement learning."
"395","BRACE: A Paradigm For the Discretization of Continuously Valued Data,"
"396","Searching for dependencies in bayesian classifiers."
"397","Parametrization studies for the SAM and HMMER methods of hidden Markov model generation."
"398","Fool\'s gold: Extracting finite state machines from recurrent network dynamics."
"399","ftp:##axon.cs.byu.edu#pub#papers#wilson.iis97.bias.ps"
"400","http:##www.cs.orst.edu:80#~tadepall#research#papers#h-learning-tr.ps"
"401","Input to state stabilizability of nonlinear systems. in preparation. [10] , A smooth converse Lyapunov theorem in a form suitable for various results on control design."
"402","Grounding robotic control with genetic neural net-works."
"403","Correcting imperfect domain theories: A knowledge-level analysis."
"404","Mapping Bayesian networks to Boltzmann machines."
"405","http:##www.cs.iastate.edu#~honavar#Papers#Heuristics.ps"
"406","Principal Curve Clustering with Noise."
"407","Warmuth ""How to use expert advice"","
"408","Towards formalizations in case-based reasoning for synthesis."
"409","Learning from an automated training agent."
"410","Boosting a Weak Learning Algorithm by Majority."
"411","http:##meru.uwyo.edu#~karl#papers#ail94.ps"
"412","ftp:##ftp.cnl.salk.edu#pub#geoff#goodhill_sejnowski_96.ps.Z"
"413","Can pac learning algorithms tolerate random attribute noise? Algorithmica,"
"414","Learning roles: Behavioral diversity in robot teams."
"415","Learning with product units,"
"416","Symbolic representation of neural networks."
"417","http:##www.aic.nrl.navy.mil#~gordon#papers#cogsci97.ps"
"418","On the logic of iterated belief revision."
"419","Strategy Learning with Multilayer Connectionist Represent ations."
"420","On the Computational Economics of Reinforcement Learning."
"421","A Knowledge-Based Framework for Belief Change, Part II: Revision and Update."
"422","G.O. and Sahu, S.K. (1997) Adaptive Markov chain Monte Carlo through regeneration."
"423","http:##www.cs.toronto.edu#~mackay#newint.ps.gz"
"424","What DaimlerBenz has learned as an industrial partner from the machine learning project Statlog. Working Notes for Applying Machine Learning in Practice:"
"425","Improving elevator performance using reinforcement learning."
"426","http:##www.cs.rochester.edu:80#u#mccallum#mccallum-nips96.ps.gz"
"427","SP (1996). Improving policies without measuring merits."
"428","Protein structure prediction: Selecting salient features from large candidate pools."
"429","http:##www.ai.mit.edu#people#unamay#cscsi-ws#psugal.ps"
"430","""A self-organizing multiple-view representation of 3-D objects,"""
"431","""Forward Models: Supervised Learning with a Distal Teacher,"""
"432","Incremental induction of decision trees."
"433","""The weighted majority algorithm"","
"434","Simple selection of utile control rules in speedup learning."
"435","""The Parti-game Algorithm for Variable Resolution Reinforcement Learning in Multidimensional State Spaces,"""
"436","Comparing predictive inference methods for discrete domains."
"437","Bayesian Case-Based Reasoning with Neural Networks. Pp."
"438","Paying attention to the right things: Issues of focus in case-based creative design."
"439","Long. Prediction, learning, uniform convergence, and scale-sensitive dimensions,"
"440","Multiple network systems (MINOS) modules: Task division and module discrimination."
"441","Scaling Up."
"442","Self regenerative Markov chain Monte Carlo."
"443","Approximating optimal policies for partially observable stochastic domains."
"444","An event-based abductive model of update."
"445","Brain-Structured Networks That Perceive and Learn."
"446","(in press). Decision tree induction based on efficient tree restructuring."
"447","Jordan (1996). A variational approach to Bayesian logistic regression problems and their extensions."
"448","(in press). Improving the mean field approximation via the use of mixture distributions."
"449","file:##ftp.cs.utexas.edu#pub#neural-nets#papers#gomez.icann98.ps.Z"
